"district","state","location_name","dist_code_2011","vill_code_2011","tot_p","tot_m","tot_f","p_lit","m_lit","f_lit","tot_work_p","tot_work_m","tot_work_f","adi_2011","msw_2011","asset_2011","fc_2011","bf_2011","adi_2019","msw_2019","asset_2019","fc_2019","bf_2019"
"ranchi","jharkhand","Bajra","364.0","374153.0",1337,662,675,669,395,274,819,396,423,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Babro","364.0","374154.0",1111,558,553,668,390,278,681,339,342,"7","2","1","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Dumri","364.0","374155.0",1501,793,708,576,345,231,618,377,241,"8","1","2","3","2","4.0","1.0","1.0","1.0","1.0"
"ranchi","jharkhand","Charki","364.0","374156.0",586,293,293,281,167,114,356,185,171,"7","3","1","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Mandro","364.0","374157.0",1626,862,764,940,572,368,730,426,304,"8","2","2","3","1","4.0","1.0","1.0","1.0","1.0"
"ranchi","jharkhand","Charnalo","364.0","374158.0",262,132,130,111,77,34,121,62,59,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Jhikpur","364.0","374159.0",732,382,350,411,250,161,414,220,194,"10","2","2","3","3","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Sarwa","364.0","374160.0",2939,1463,1476,1397,804,593,1994,1005,989,"6","1","1","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kurkura","364.0","374161.0",1479,751,728,831,494,337,721,411,310,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Bakhar","364.0","374162.0",519,262,257,192,121,71,285,144,141,"7","2","2","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kaimbo","364.0","374163.0",2505,1273,1232,1235,719,516,1218,634,584,"6","1","2","2","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Hesmi","364.0","374164.0",2431,1191,1240,1767,903,864,871,535,336,"11","2","3","3","3","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Sosai","364.0","374165.0",2435,1221,1214,1726,916,810,1031,601,430,"7","1","2","1","3","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Mandar","364.0","374167.0",4027,2031,1996,2699,1458,1241,1213,864,349,"9","1","2","3","3","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Malti","364.0","374168.0",2822,1467,1355,1721,1005,716,1172,700,472,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chatwal","364.0","374169.0",2163,1115,1048,950,558,392,1105,577,528,"7","2","1","3","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Keskani","364.0","374170.0",251,128,123,150,91,59,129,71,58,"8","3","3","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Bargari","364.0","374171.0",2400,1243,1157,1301,763,538,1121,667,454,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Jaher","364.0","374172.0",1935,1001,934,1054,601,453,819,481,338,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chund","364.0","374174.0",1742,888,854,874,530,344,1056,546,510,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
