"district","state","location_name","dist_code_2011","vill_code_2011","tot_p","tot_m","tot_f","p_lit","m_lit","f_lit","tot_work_p","tot_work_m","tot_work_f","adi_2011","msw_2011","asset_2011","fc_2011","bf_2011","adi_2019","msw_2019","asset_2019","fc_2019","bf_2019"
"jamui","bihar","Mednipur","238.0","258789.0",366,192,174,194,125,69,194,107,87,"8","2","2","3","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Guria","238.0","258790.0",800,435,365,389,238,151,421,212,209,"7","1","2","3","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Donha","238.0","258791.0",386,208,178,233,139,94,173,93,80,"6","2","2","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Matia","238.0","258793.0",6074,3185,2889,3127,1951,1176,2513,1617,896,"5","1","2","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Mohanpur","238.0","258794.0",2786,1401,1385,1300,771,529,1263,690,573,"5","1","2","1","1","5.0","1.0","1.0","2.0","1.0"
"jamui","bihar","Kenuhat","238.0","258795.0",1672,895,777,815,509,306,766,421,345,"4","1","1","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Gordih","238.0","258797.0",1132,613,519,846,497,349,513,314,199,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Sakal","238.0","258798.0",2461,1253,1208,1248,760,488,1143,633,510,"5","1","2","1","1","6.0","2.0","1.0","2.0","1.0"
"jamui","bihar","Tengahra","238.0","258801.0",3586,1858,1728,1716,1001,715,1488,900,588,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Domachak","238.0","258802.0",1208,601,607,595,343,252,536,279,257,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Harla","238.0","258803.0",4155,2139,2016,2564,1513,1051,1738,1056,682,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Masle","238.0","258804.0",1082,567,515,501,298,203,527,267,260,"6","2","2","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Kala","238.0","258805.0",3303,1751,1552,1709,1086,623,1454,744,710,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Jinhara","238.0","258810.0",1545,791,754,791,456,335,838,438,400,"6","2","2","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Asota","238.0","258811.0",582,296,286,265,181,84,292,161,131,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Bishunpur","238.0","258812.0",1040,540,500,486,344,142,471,255,216,"5","1","2","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Ojhadih","238.0","258813.0",739,399,340,493,280,213,367,182,185,"6","2","2","1","1","7.0","1.0","2.0","3.0","1.0"
"jamui","bihar","Harchak","238.0","258814.0",439,217,222,60,55,5,287,142,145,"4","1","1","1","1","5.0","2.0","1.0","1.0","1.0"
"jamui","bihar","Pindraun","238.0","258815.0",1919,1037,882,838,560,278,956,491,465,"5","1","2","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Teliadih","238.0","258825.0",921,476,445,473,310,163,435,221,214,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Sabalpur","238.0","258826.0",718,385,333,432,263,169,390,205,185,"5","1","2","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Pemadih","238.0","258827.0",313,167,146,175,115,60,150,79,71,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Alagjara","238.0","258829.0",132,63,69,49,30,19,55,30,25,"4","1","1","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Sukhasan","238.0","258832.0",683,358,325,205,134,71,338,170,168,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Kasba Dighi","238.0","258833.0",4064,2086,1978,2234,1324,910,1681,1013,668,"5","1","2","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Tola Kamlu","238.0","258834.0",1269,651,618,353,230,123,500,316,184,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Mohanpur","238.0","258836.0",4621,2480,2141,2195,1437,758,2267,1280,987,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tetaria","238.0","258839.0",223,119,104,82,48,34,114,59,55,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Sundrotanr","238.0","258841.0",1167,616,551,550,327,223,602,318,284,"5","1","2","1","1","8.0","2.0","2.0","3.0","1.0"
"jamui","bihar","Tola Bela Tikur","238.0","258842.0",522,268,254,325,175,150,257,133,124,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Khelar","238.0","258845.0",1646,862,784,942,551,391,1046,549,497,"5","1","2","1","1","8.0","2.0","2.0","3.0","1.0"
"jamui","bihar","Tola Jhonpa","238.0","258849.0",549,294,255,332,202,130,275,139,136,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Karamtanr","238.0","258850.0",893,481,412,427,290,137,482,247,235,"6","1","2","2","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Tola Pamna","238.0","258851.0",1543,827,716,901,575,326,803,434,369,"5","1","2","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Nawabandh","238.0","258852.0",281,154,127,143,95,48,136,81,55,"5","1","2","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Tola Nawadih","238.0","258853.0",195,99,96,60,37,23,91,55,36,"5","2","1","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Tola Gadi Mangrar","238.0","258858.0",6364,3322,3042,2966,1927,1039,3191,1809,1382,"5","1","2","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Tola Purnadih","238.0","258859.0",766,394,372,293,203,90,424,214,210,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Ghormara","238.0","258991.0",401,221,180,251,147,104,196,104,92,"6","1","1","3","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Ukharia","238.0","258992.0",264,132,132,67,41,26,116,60,56,"4","1","1","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Barakola","238.0","258993.0",181,93,88,60,35,25,91,61,30,"5","1","2","1","1","5.0","2.0","1.0","1.0","1.0"
"jamui","bihar","Tola Pachkathia","238.0","258995.0",192,100,92,73,50,23,110,54,56,"4","1","1","1","1","5.0","2.0","1.0","1.0","1.0"
"jamui","bihar","Tola Kansajharna","238.0","258997.0",65,37,28,0,0,0,30,18,12,"4","1","1","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Tola Jinatbhandar","238.0","258999.0",82,38,44,29,14,15,39,20,19,"4","1","1","1","1","6.0","2.0","1.0","2.0","1.0"
"jamui","bihar","Tola Jurpania","238.0","259000.0",582,325,257,267,193,74,268,136,132,"4","1","1","1","1","5.0","1.0","1.0","2.0","1.0"
"jamui","bihar","Tola Thelpathal","238.0","259001.0",198,99,99,66,42,24,101,51,50,"4","1","1","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Machhendra","238.0","259002.0",1619,834,785,891,505,386,666,349,317,"7","1","2","3","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Dadpur","238.0","259004.0",1830,951,879,974,608,366,898,538,360,"6","2","2","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Dhiba","238.0","259005.0",1776,935,841,788,543,245,782,449,333,"6","2","1","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Ramdaspur","238.0","259007.0",1625,872,753,752,491,261,857,489,368,"6","2","2","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Kharhaia Urf Jamu","238.0","259008.0",3622,1873,1749,1566,995,571,1567,904,663,"6","2","1","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Sidhesri","238.0","259009.0",3933,2080,1853,2220,1418,802,1956,1043,913,"6","2","2","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Hathia","238.0","259010.0",7411,3866,3545,2996,1980,1016,3597,1979,1618,"7","1","2","3","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Tola Amakoli","238.0","259011.0",330,163,167,71,38,33,193,95,98,"6","2","2","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Dudharwa","238.0","259012.0",181,90,91,52,37,15,102,49,53,"4","1","1","1","1","7.0","3.0","2.0","1.0","1.0"
